Název mapy,Odkaz na StareMapy.cz
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/YuiBMtM8pvqAkfTlZqsYcQ/201302270928-CSGifB/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/5aTZ9emiA1WPuGZQMydrIY/201302270928-8l6SKn/georeference,Vědecká knihovna v Olomouci
[Cartae geographicae] ,http://staremapy.georeferencer.cz/map/PxKuYldm5aJlZ2OO2EW91K/201302270930-AbPlr3/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/UFy68Ni7mmRYuPvd4lxcQb/201302270928-cvb00w/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/KsSaNYhaKdLfwcyrfqG3UQ/201302270928-vONg4s/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/Ayz4eJo3baw14qlSRgXBgO/201302270928-4KhukS/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/bNaJwnlVxnOsCDk6PZRT2q/201303211549-bWHoPV/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/1nwBkeMQPJOwh2bVFHJaJ3/201302270928-WdvdCZ/georeference,Vědecká knihovna v Olomouci
Geologische Karte der im Reichsrathe vertretenen Königreiche und Länder der Österreich-Ungarischen Monarchie.auf Grundlage der Specialkarte i. M. 1:75.000 des k.u.k. Militär-geographischen Institutes..Erste und zweite Lieferung ,http://staremapy.georeferencer.cz/map/4OQePeUl0aTbQBkARruWG1/201302270928-uOIoOT/georeference,Vědecká knihovna v Olomouci
Atlas der Personalkredit-Bezirke der Haupt- und Zweiganstalten der Oesterreichisch-ungarischen Bank = Az Osztrák-Magyar Bank Fö- és Fiókintézetei Személyhitel-Kerületeinek Térkép-Gyüjteménye,http://staremapy.georeferencer.cz/map/oW4MXqWkfwvTdShhT8Wove/201302270928-6ZjNX8/georeference,Vědecká knihovna v Olomouci
Bemerkungen über den innern Kreislauf der Handlung in den oesterreichischen Erbstaaten : zur nöthigen Erläuterung der hydrographischen General- und Partikulärkarten von diesen Ländern oder Hauptentwurf der zu eröffnenden schiffbaren Wasserstraßen von allen Meeren Europens bis nach Wien,http://staremapy.georeferencer.cz/map/17vSd2HOqwGlcFQAiEZlki/201302270929-gFy8SY/georeference,Vědecká knihovna v Olomouci
Geologische Karte der im Reichsrathe vertretenen Königreiche und Länder der Österreich-Ungarischen Monarchie.auf Grundlage der Specialkarte i. M. 1:75.000 des k.u.k. Militär-geographischen Institutes..Erste und zweite Lieferung ,http://staremapy.georeferencer.cz/map/YNpi9K1aIkvKhP7UqR5mRr/201302270928-IIixBu/georeference,Vědecká knihovna v Olomouci
Neuer Hand-Atlas über alle Theile der Erde,http://staremapy.georeferencer.cz/map/3EskQw8LLzq9zcYEZTd7dm/201302270928-WAWtSX/georeference,Vědecká knihovna v Olomouci
Uebersichts plan des Laengenprofils der projectirten eisenbahn in Galizien,http://staremapy.georeferencer.cz/map/E1iMPAHFa6HZ8PcnulbQtV/201302270752-jFvHRL/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/wEtJD4ooThgLlBzLYRzha8/201302270753-8gBc8h/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/f3FxyHGo3drb8bcKhOMQH4/201302270753-EOL5f8/georeference,Národní knihovna ČR
Mappa chorographica novissima et completissima totius regni Bohemiae in duodecim circulos divisae,http://staremapy.georeferencer.cz/map/oQfWDT7flMkhrasGUUuU0w/201302270752-kuWkKW/georeference,Národní knihovna ČR
Müllerova mapa Čech ,http://staremapy.georeferencer.cz/map/npelnSxeCA0CM8PQIGxB3P/201302270754-N98mih/georeference,Národní knihovna ČR
Geographisches Beschreibung des gelobten Landes Canaan.,http://staremapy.georeferencer.cz/map/m02sKUldo0UHdvymBXPBrG/201302270754-mxIyDE/georeference,Národní knihovna ČR
Rusko kolem 1800,http://staremapy.georeferencer.cz/map/DuvJD5jmVEDDANkZKyxv2u/201302270752-V2T6YW/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/tQJaqH8lxDNVjeRKzyGZgD/201302270754-Me4cEY/georeference,Národní knihovna ČR
Marchionatus Moraviae.,http://staremapy.georeferencer.cz/map/D0GnTWfSm3XH6HtSa3m3RV/201510282017-4AeVTz/georeference,Národní knihovna ČR
Neu vermehrter curioser Meilen-Zeiger der vornehmsten Staedte in Europa besonders in Deutschland.,http://staremapy.georeferencer.cz/map/sdV3L8AD3F1gJV0XZDBEiH/201302270754-DM3Y9y/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/K5cRzbXhvFHnxCSmTElydw/201302270754-TBlreL/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/2luJ0FrA8JbX7e32qOAieT/201302270753-TWzYYd/georeference,Národní knihovna ČR
Marchionatus Moraviae.,http://staremapy.georeferencer.cz/map/wORm50GDAYNPbSHZ7nkO3p/201302270754-YUsL9h/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/K6waHimDRbdUPBRV6nuTww/201302270753-xFyFiF/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/Lv7XAg83m1gdktthKmE9iD/201302270752-5MkJtp/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/EALFWA6F4RRQjTO9XMIVLj/201302270752-KpDTvw/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/iZFpOOQpM6AKrqMz8tpo6i/201302270754-5KtbpU/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/J5WqqfwVIHkSOHt6TYlXcY/201302270753-Qmod7y/georeference,Národní knihovna ČR
Topographische und militairische Carte desienigen Theils von Boehmen welcher zwischen Hohenelbe Pless und der schlesischen Grentze gelegen ist,http://staremapy.georeferencer.cz/map/Ijz5iXGuTq5psgJD8bbzR2/201302270752-ByMfCk/georeference,Národní knihovna ČR
Europa das ein Drittheil der Erden nach Gelegenheit unsern Zeiten.,http://staremapy.georeferencer.cz/map/mgV5qjWhWpATgEk82REGem/201302270753-68zyrI/georeference,Národní knihovna ČR
Ducatus Limburgum.,http://staremapy.georeferencer.cz/map/38aRdnMrUccnNwgGuF850U/201302270754-E9xVok/georeference,Národní knihovna ČR
Mappa chorographica novissima et completissima totius regni Bohemiae in duodecim circulos divisae,http://staremapy.georeferencer.cz/map/DnX6y99JHhyi7O0KLQipaY/201302270752-6ieNuj/georeference,Národní knihovna ČR
Dolní Rakousy 1670,http://staremapy.georeferencer.cz/map/zhvxxXCQTy9fYMHOug2dFV/201302270753-i2LNyG/georeference,Národní knihovna ČR
Uebersichts plan des Laengenprofils der projectirten eisenbahn in Galizien,http://staremapy.georeferencer.cz/map/a8d7EUj02JveXLsWVXGjxy/201302270752-YfOU55/georeference,Národní knihovna ČR
Dolní Rakousy 1670,http://staremapy.georeferencer.cz/map/xf030u9As0oyIK173mmxHg/201302270753-cxP5CO/georeference,Národní knihovna ČR
Francie pol. 16. století,http://staremapy.georeferencer.cz/map/HJVn1AOfzCvdeVf3E5wjUt/201302270753-GxPYQf/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/wCCiosFAFgYrksss8Fxz9A/201302270752-BQ18Ee/georeference,Národní knihovna ČR
Afrika,http://staremapy.georeferencer.cz/map/1nugOc1MMTqHTh34jC697H/201302270753-ShXsnf/georeference,Národní knihovna ČR
Europa delineata et recens edita.,http://staremapy.georeferencer.cz/map/dWqvcwtVfuFd9BtnbAafRc/201302270754-XXuXHE/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/OEQ7tlMOTBbD0a6pZ1FrDr/201508081854-9QdzxK/georeference,Národní knihovna ČR
[Atlas Novus] (torzo).,http://staremapy.georeferencer.cz/map/yVxamkOC6VQ78Dj4CyQ1eE/201302270754-NWQzQy/georeference,Národní knihovna ČR
Moravia.,http://staremapy.georeferencer.cz/map/DaQudgRBeP6baTzFDRCE9D/201302270754-F57lqv/georeference,Národní knihovna ČR
Evropa,http://staremapy.georeferencer.cz/map/0cNBQxkCBStiMpbDNc1vyS/201601291458-MSBWRs/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/3uY410R6XgsqcgKc9HDzb2/201302270752-H1RoBi/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/lPkYlCnh8J9t01TFPqRJ9a/201302270754-rqtUKz/georeference,Národní knihovna ČR
Atlas Silesiae,http://staremapy.georeferencer.cz/map/uxwPLuwyrVdeC1uBlPxQOv/201302270752-bxoJtV/georeference,Národní knihovna ČR
Moravia marchionatus.,http://staremapy.georeferencer.cz/map/if7s0uC8NeavmOSIF6Yrao/201302270754-yFu0bB/georeference,Národní knihovna ČR
"Atlas Maior, sino Cosmographia Blaviana (torzo španělského vydání).",http://staremapy.georeferencer.cz/map/aCtEPUwF920sxItbCBM88s/201302270754-Ik4KwZ/georeference,Národní knihovna ČR
Moravia marchionatus.,http://staremapy.georeferencer.cz/map/0ibk0OCaEpky9jOZNwvCsP/201302270754-GmGdui/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/Zc8pngaBUElNdOe1qm02Mv/201302270753-X64qUS/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/m2o38wyjm4RbqkraCL8oK9/201302270753-qkuZkk/georeference,Národní knihovna ČR
"Atlas Maior, sino Cosmographia Blaviana (torzo španělského vydání).",http://staremapy.georeferencer.cz/map/mAToLJm5wjC5cyVjF0ONRk/201302270754-lqbY3s/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/VGyidbuUiwC9r58EippDGu/201302270752-G7YSis/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/ZTmnPi3h1YZiujz56ZxgAQ/201302270752-qVzXis/georeference,Národní knihovna ČR
Moravia marchionatus.,http://staremapy.georeferencer.cz/map/JF6EGkm75IV7dShW8CfBq3/201302270754-Qejizl/georeference,Národní knihovna ČR
Der Strom der Zeiten oder bildliche Darstellung der Weltgeschichte von den ältesten Zeiten bis zum Ende des achtzehnden Jahrhunderts,http://staremapy.georeferencer.cz/map/5R1Wjkpi5z0jha2rnMHqBJ/201302270753-fXMBEI/georeference,Národní knihovna ČR
"Theatrum Orbis Terrarum, sive Atlas Novus in quo Tabula et Descriptiones Omnium Regionum,  (torzo).",http://staremapy.georeferencer.cz/map/LblGZxoSWLsCaeRdbocmfC/201302270754-eUOu83/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/qKk0gXJO9XHT3yChZ4BiR4/201302270752-weEfgm/georeference,Národní knihovna ČR
"Atlas Maior, sino Cosmographia Blaviana (torzo španělského vydání).",http://staremapy.georeferencer.cz/map/QnzSOPrFta7dh0Tk2pYTjw/201302270754-q9sZg2/georeference,Národní knihovna ČR
Uebersichts plan des Laengenprofils der projectirten eisenbahn in Galizien,http://staremapy.georeferencer.cz/map/tZvNAuQcqszunbuzdRu4HA/201302270752-id2NX9/georeference,Národní knihovna ČR
Orientační plán města Plzně : List 4,http://staremapy.georeferencer.cz/map/GEZ0BzTaOzkvrJnn0iFlr7/201302270752-hplZB1/georeference,Národní knihovna ČR
Nova et accuratissima totius Americae descriptio.,http://staremapy.georeferencer.cz/map/XId0TXTLsjkwpokXwQCX9F/201302270754-JBZh0I/georeference,Národní knihovna ČR
March-Tabella von dem königlich pohlnischen und chur-fürstlich sächsischen in königlich französischen Sold unter Commando Sr. königlichen Hoheit Prinz Xaverii gestandenen Auxiliar-Corps wie solches vom 2ten April 1758 aus Ungarn in währenden Campagnen und bis zum 18ten April 1763 bey der Einrückung in Sachssen seinen March prosequiret hat,http://staremapy.georeferencer.cz/map/NGX53qR1SAPTBjHmn1xsMD/201302270753-yHo9RJ/georeference,Národní knihovna ČR
Beschreibung des hochloblichen Fürstentum Obern und Niedern Bayern,http://staremapy.georeferencer.cz/map/TudTzjMxhJBKCWpbgJjqjG/201302270752-JkgvJV/georeference,Národní knihovna ČR
Charte des nördlichen Theils vom dem Königreiche Böhmen welcher die zur Leitmeritzer Dioeces gehörigen Kreise nebst den angrenzenden Theilen bis zur Hauptstadt Prag enthaelt un IX Blaettern,http://staremapy.georeferencer.cz/map/k6V95jyM8IuRrrxMgiVQtA/201302270752-781h1j/georeference,Národní knihovna ČR
Historisch-geographische Charte für die erste Anfänger in der Geographie und Historie.,http://staremapy.georeferencer.cz/map/pgyq14AHqLOCuC9SQ2L6Eh/201302270754-6gjJNR/georeference,Národní knihovna ČR
